Name,Rating,Summary,Verified,Review
Ricki Ramirez,5.0 out of 5 stars,Good,Verified Purchase,great heater !
Amazon Customer,5.0 out of 5 stars,Warms up quickly,Verified Purchase,Heats up very quickly and love the tip over safety feature!
Janice otero,4.0 out of 5 stars,Love it tho,Verified Purchase,I feel like it can be just a bit more hotter
Tony,5.0 out of 5 stars,Good for price,Verified Purchase,Be aware of the switch under the heater that must be depressed in order to function.
Jorden,5.0 out of 5 stars,Great value,Verified Purchase,"Great heater, heats up fast"
Brook Dill,5.0 out of 5 stars,works good,Verified Purchase,product works as described.
William Pio5,4.0 out of 5 stars,excellent buy,Verified Purchase,It's very good for my office and the best thing doesn't make much noise
Brad,5.0 out of 5 stars,Works Great,Verified Purchase,Works great!
Lori Jo Hone,5.0 out of 5 stars,Great little heater.,Verified Purchase,Works very well. Easy to operate. Good safety features.
conficusinstitute ,3.0 out of 5 stars,Review for the products,Verified Purchase,The product is really good as per my expectations. Room gets warm quickly. It also occupies less space.
Diana Gatheru,5.0 out of 5 stars,Great item,Verified Purchase,Works according to maximum expectations.
Lisa M Phelps,5.0 out of 5 stars,I would definitely recommend this product.,Verified Purchase,I love this product. I use it in my home office which is quite chilly but these keeps me nice and warm.
Courtney Rafferty,5.0 out of 5 stars,Garage heater,Verified Purchase,Heats up my garage pretty well
Grassmower710,5.0 out of 5 stars,Hot!!,Verified Purchase,This works great. High heat and fast. Works great for my bedroom
Bradley,5.0 out of 5 stars,Great product,Verified Purchase,"Love this product! Great size, lots of power and great for heating our den!"
gorantla,5.0 out of 5 stars,Excellent Product,Verified Purchase,this product is excellent. I loved it.
Jack,5.0 out of 5 stars,Great for office!!,Verified Purchase,Got this for my dad's office for christmas and he loves it!! Works great. 
Kimberly Clark,5.0 out of 5 stars,Works great,Verified Purchase,The heater provide quit warmth to my office
mike,5.0 out of 5 stars,Awesome,Verified Purchase,Good one for the price
Amazon Customer,5.0 out of 5 stars,It serves its purpose.,Verified Purchase,I like it.
Amazon Customer,5.0 out of 5 stars,Great Heater,Verified Purchase,Love this heater. Quiet and warms you up quick!
Jacob ,5.0 out of 5 stars,Best Heater,Verified Purchase,"Excellent heater, it works great easy to use and warms up very quickly."
rene,5.0 out of 5 stars,good quality,Verified Purchase,good product for the price
Brett Kessel,5.0 out of 5 stars,Amazing Heater !,Verified Purchase,Easy to control and heats the room in no time.  I recommend the heater immensely.
Amazon Customer,1.0 out of 5 stars,Trash,Verified Purchase,Stopped working after 30 days
Amazon Customer,5.0 out of 5 stars,Small in size,Verified Purchase,Great heater small compact
Wang,5.0 out of 5 stars,Valuable and Keep warmer,Verified Purchase,That’s so great and valuable! I really like it!
Carrie,4.0 out of 5 stars,works,Verified Purchase,Heats a small space well
Alice,5.0 out of 5 stars,Good,Verified Purchase,Very good
Xochilt,5.0 out of 5 stars,Good,Verified Purchase,This products works for its purpose but it’s too overpriced for such a small heater.
blue_eyes_dci,5.0 out of 5 stars,Warmth the whole day,Verified Purchase,The heater works well in providing comfortable warmth the whole day.
Amazon Customer,1.0 out of 5 stars,Not so great!,Verified Purchase,Not so great! Try something else.
Amazon Customer,5.0 out of 5 stars,Small and powerful.,Verified Purchase,This heater is awesome.  Perfect for home or office.  Love how it oscillates.
justin,5.0 out of 5 stars,Good value.,Verified Purchase,Works great for the price and size. Nice design feels like quality construction.
Amazon Customer,4.0 out of 5 stars,Review,Verified Purchase,It seems to do the job.  I thought it was taller than it was.
Tiffany Gonzalez,4.0 out of 5 stars,Great,Verified Purchase,It worked great!!!
john alexander,5.0 out of 5 stars,It fans you Heat.,Verified Purchase,Great buy your saving money.
Paula ,4.0 out of 5 stars,Great product,Verified Purchase,Easy to use and gives off great heat in a large area.
Lou Cobb,5.0 out of 5 stars,heat output and safety,Verified Purchase,Also great as bathroom heater
JPD,4.0 out of 5 stars,Small & out of the way,Verified Purchase,Small and compact; heats my small room without a problem
Lcla337,5.0 out of 5 stars,Excellent heater,Verified Purchase,Great product
Lam Nguyen,3.0 out of 5 stars,Product review,Verified Purchase,It’s not the best but it is worth to buy
Anthony Wills,3.0 out of 5 stars,It doesn’t put out heat.,Verified Purchase,The picture makes it look bigger
Joseph,5.0 out of 5 stars,Compact,Verified Purchase,It is small and heats up the room quickly.
Nguyen,5.0 out of 5 stars,Excellent Heater,Verified Purchase,One of the best heaters that I have ever purchased.
Dyllan,5.0 out of 5 stars,I love it,Verified Purchase,Is really good
Jeremy ,5.0 out of 5 stars,Heats up quickly!,Verified Purchase,Product works very well for a small office.
Son,4.0 out of 5 stars,As expected,Verified Purchase,As expected !!
Dalton Harms,5.0 out of 5 stars,Good heater,Verified Purchase,Nice Heater
Aprilsky,1.0 out of 5 stars,Sleek new look with little air flow,Verified Purchase,This fan is all appearance and no real quality  function with circulating powerful air during Hot Summer months. The noise level and swivel rotation is the only good thing I can say about this unit. The first level is incredibly weak and the third level is a joke! Barely a slight breeze that flows on any of the 1-3 speed levels. Save your money for a Vornado! This Review is from a customer that wants to share an honest opinion and save your money for a much better unit. A new Sleek appearance is what drew me in. I have the unit in my daughter's room as a back up. Luckily her room is cool year round. Read the full description before making a purchase.
mark_716,5.0 out of 5 stars,Very Good Space Heater,Verified Purchase,"Hi I purchased 2 of these one for each of my kids Room  Their rooms are on the 2nd floor and the heat just doesn't heat well up there so I bought this for the Winter to keep their rooms warm. The space heater does more than a perfect job keeping it warm. Hot even this thing is so powerful and warms the Room of very fast. I like that it has a tip over safety feature in case he gets knocked over. You can set a timer on it and it will shut off on its own which is perfect so you don't have to worry about it . Overall it is a great space heater, I highly recommend."
Sandi Thompson,5.0 out of 5 stars,I LOVE this fan !!!,Verified Purchase,I love this fan … it has so many options … it is on low and I can not hear it BUT can feel it … and it feels so good .. I love that it has the temp on it … love that it oscillates … I am very happy with this fan !!!
K-B,5.0 out of 5 stars,Great little heater,Verified Purchase,"Ordered this to heat a 224 square foot area ... and it does a good of doing that. Its small footprint doesn't' take up a lot of room and it's quiet. The 2 heat settings allow for adjusting to temperature conditions and the oscillating helps to evenly heat the room. Overall, a good value for the price."
linalambada,3.0 out of 5 stars,"Compact, efficient, and warm!",Verified Purchase,Works great and heats up fast. The only down fall for me is that the electric cord is too short.
dreyelys,1.0 out of 5 stars,Waste of money,Verified Purchase,"Didn’t warm nothing,Lost of money, I think my room gets colder instead of warmer.They should really tell you it would only work for under desk heating. It won’t even heat up a bathroom. Waste of money ."
Amazon Customer,5.0 out of 5 stars,Good heater!,Verified Purchase,"Received this heater for Christmas and we love it on our patio! We have an open covered patio and use the heater in front of us in our seating area and it keeps us warm! Great value and easy to use heater, love that it oscillates!"
RB,2.0 out of 5 stars,How to clean this fan?,Verified Purchase,No idea or instructions about how to uninstall and clean this fan!!
Holly Beck,4.0 out of 5 stars,Great Heater,Verified Purchase,This space heater works fantastic. Exactly what we were looking for to heat up our living room during the winter.
Geoff hyder,2.0 out of 5 stars,Not powerful,Verified Purchase,Doesn’t move much air at all
Janet D,5.0 out of 5 stars,Good quality heater.,Verified Purchase,"Excellent heater. Small, efficient, quiet and warms a medium nicely and quickly. And the price is right. Recommend it."
Amber Haisten,5.0 out of 5 stars,Great heater!,Verified Purchase,I love the tip over feature. Having kids it always worries me if it falls what would happen.
Anne M. LaJeunesse,5.0 out of 5 stars,Great product,Verified Purchase,Very quiet for an office setting.
Whitni Ivey,5.0 out of 5 stars,Worth the money.,Verified Purchase,Lightweight and strong.
liuandy,5.0 out of 5 stars,Mute constant temperature multi-protection electric heater,Verified Purchase,This electric heater is very quiet when working. It can hardly hear the rotating noise. It is very important for quiet sleep. It has a constant temperature function. You don't have to worry about the temperature being too high or too low. The safest is the rollover protection function.  It is very practical for families with children.
David,5.0 out of 5 stars,"Smells ""slightly odd"" for about an hour but that's just plastic off-gassing.(Otherwise unplug it!)",Verified Purchase,"Works great so far. Heats up a 28ft x 22ft room with a mid sized window nicely. No smell either after the first hour of it running. The anti-tilt shut off works. It works so well that if the heater is not sitting flat on the floor it will keep it from turning on. After about 5 minutes if why won't my new product work I saw the button on the bottom of the heater. It was just stuck enough that the weight of the heater would not push it down at first. I pushed it down with my hand and after a click it began to run. I set it back down and it turned back on with no problems sense.As for the smell it does let off when it first runs, if it smells like burn plastic unplug it and return it for a different one. That only happens if something came loose inside of it and it got stuck to the heater element. Otherwise all plastic will off-gas when heated for the first few times making it smell odd. Should the smell bother you run it in a vented space till the smell goes away.(Took mine about 1 hour)"
huihui,5.0 out of 5 stars,Excellent designed！,Verified Purchase," When I got this tower fan, OMG!What a fan! I couldn't be more satisfied with it! The design of the fan is so cool that it takes no space at all. The space reserved for the fan in our house is very small, but it is just right! And you can hardly imagine that such a lightweight tower fan can stay so cool for you! The whole family loves it!"
Romantic,4.0 out of 5 stars,Wow...feel the heat,Verified Purchase,"I needed a replacement for a tower heater that we'd had for several years. I got this one because the reviews were good and the features seemed to be what I was looking for. Nothing fancy about this unit, but it certainly puts out the heat. Warms up our kitchen, hallway, foyer, and living room. I haven't turned on the heater in the living room since starting use of this one. Nice!"
Emily,5.0 out of 5 stars,Smooth and quiet! Love it!!!!!,Verified Purchase,"I love this tower cooler fan, it’s so quiet and smooth!Make me feel so relax while I resting. The weather is getting hot lately so I wanted to buy a fan last month, I have tried the other one before, but the wind of that fan was super loud and it’s noisy make me couldn’t sleep all the time. So finally...... I decided to buy another one, after searching, I have chosen this one. The wind is very cool and very quiet, my dog and I can finally get a good night's sleep.Strongly recommend it to everyone who cares about their sleeping quality."
Charlene A. Wrighton,4.0 out of 5 stars,It is good. I am happy with it. However....,Verified Purchase,It doesn't work on carpet unless you put it on a book or something hard.It has a strong safey device at the bottom and the carpet will not work with it.Solution: a big book. Works great. It works great on tile or linoleum.
Summer L.,1.0 out of 5 stars,Doesn’t work,Verified Purchase,"Defective and they won’t exchange or return it. It turns on, lights up, swings, let’s me press all the buttons, BUT NO AIR COMES OUT. What’s the point of having this if it literally doesn’t work at all and the company won’t respond to my exchange request. Extremely disappointed. Don’t recommend wasting your money on this."
J. Clark,5.0 out of 5 stars,Compact Heater with Oscillation,Verified Purchase,We bought this for our outdoor patio during mild cold evenings.  It also doubles as our backup heat in our RV.Great compact heater with the oscillation feature which we like.  Not as tall as some tower heaters.
avinesh,5.0 out of 5 stars,Best little heater,Verified Purchase,"This little heater is best heater. Little n easy to use and puts out heat then the big heater my room is 20× 18 it heats it up usually in 1& half to 2 hed, my old heat I used to leave it on all night."
Amazon Customer,5.0 out of 5 stars,Good product.,Verified Purchase,Definitely puts off the heat! I get the safety feature but sometimes is annoying because it won’t work on carpet. Needs something placed underneath it.
Amazon Customer,5.0 out of 5 stars,"Good value, would order again if needed.",Verified Purchase,Arrived on time and in good condition. the unit works great and is VERY quiet.
James Howard,5.0 out of 5 stars,It performs as stated,Verified Purchase,It lives up to stated characteristics.
Michelle,5.0 out of 5 stars,Easy to use,Verified Purchase,"I bought it for my medium size living room. My first impression is the heater heats up the room really fast and it is extremely quiet. Also Another this heater will immediately shut off when it falls over, it’s very safe for children.I highly recommend this heater"
Paul W Gardner II Esq.,5.0 out of 5 stars,"Heater and fan, that is easy to unpack & use!  Priced great!",Verified Purchase,"Purchased for my girlfriend's use in her office.  It has THREE windows, and she is always complaining about being cold.  Well, that stopped with this purchase!  It even has a fan component, for when she starts complaining about the summer heat!  Great purchase and value!  Very easy to unpack & immediately use!"
Michele Zimmer,5.0 out of 5 stars,Great little space heater,Verified Purchase,Small and mighty- produces the right amount of warmth without having to turn the heat on during these cold NY fall mornings!
Amazon Customer,5.0 out of 5 stars,Space Heater,Verified Purchase,"I am very pleased with this so far, I would like B 12 outlet power Strip for leaving review"
Wyatt Henry,5.0 out of 5 stars,Heater,Verified Purchase,It is very quiet and the thermostat on it works great.
D. Daniels,4.0 out of 5 stars,Worth the price,Verified Purchase,"Pretty quiet, does put out a good quantity of air. Was worth the price."
Amazon Customer,5.0 out of 5 stars,Get warmed up,Verified Purchase,Warm and cozy
